hrv_mean_nni,hrv_median_nni,hrv_range_nni,hrv_sdsd,hrv_rmssd,hrv_pnni_50,hrv_pnni_20,hrv_cvsd,hrv_sdnn,hrv_cvnni,hrv_std_hr,hrv_total_power,hrv_lf,hrv_peaks,hrv_hf,hrv_mean,hrv_std,hrv_max,hrv_ptp,hrv_rms,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_svd_entropy,acc_x_mean,acc_x_min,acc_x_sum,acc_x_skewness,acc_x_n_sign_changes,acc_x_pct_5,acc_x_pct_95,acc_x_svd_entropy,acc_y_mean,acc_y_min,acc_y_max,acc_y_sum,acc_y_pct_5,acc_y_pct_95,acc_z_n_sign_changes,l2_pct_5,Stress
664.8208783,656.25,1015.625,79.14064082,79.14077306,26.81047766,61.47919877,0.119040746,99.49128748,0.149651268,14.53314807,6165.461676,1645.706652,174,1189.870353,664.8208783,99.41460825,1359.375,1015.625,672.2128119,109.375,328.125,531.25,859.375,0.360488084,-22.2,-81,-42624,0.687263186,39,-52,17.05,0.534718202,-38.71145833,-91,65,-74326,-69,42.05,162,54.16456346,0
665.5863003,656.25,1015.625,78.88425677,78.88439068,26.00619195,61.60990712,0.118518651,100.0608388,0.150334883,14.58080671,6231.543345,1610.883587,172,1213.155715,665.5863003,99.98336235,1359.375,1015.625,673.054081,109.375,328.125,531.25,859.375,0.359929097,-22.82447917,-81,-43823,0.716310361,37,-53,17.05,0.530344825,-38.56354167,-91,65,-74042,-69,42.05,166,54.4049451,0
666.4644798,656.25,1015.625,78.83364457,78.8337794,25.62111801,61.64596273,0.118286543,100.8403321,0.151306386,14.63669929,6286.619661,1606.018951,171,1193.41218,666.4644798,100.7620095,1359.375,1015.625,674.0384896,109.375,328.125,531.25,859.375,0.361142634,-23.08489583,-81,-44323,0.747214036,37,-53,17.05,0.531070708,-38.51510417,-91,65,-73949,-69,42.05,177,54.4049451,0
667.8419629,656.25,1015.625,79.52486238,79.52499479,25.96599691,61.66924266,0.119077565,101.6710893,0.152238246,14.69148945,6392.054241,1611.75083,172,1224.389709,667.8419629,101.5924877,1359.375,1015.625,675.5249225,109.375,328.125,531.25,859.375,0.358063982,-23.34895833,-81,-44830,0.779514387,37,-53,17.05,0.531779844,-38.478125,-91,65,-73878,-69,42.05,184,54.4049451,0
669.0538194,656.25,1015.625,78.90105367,78.90118672,25.92592593,61.41975309,0.117929506,102.210853,0.152769254,14.7218208,6454.499955,1623.180092,172,1206.490963,669.0538194,102.1319561,1359.375,1015.625,676.8042182,109.375,328.125,531.25,859.375,0.357883259,-23.59739583,-81,-45307,0.811508952,37,-53,17.05,0.531470969,-38.45364583,-91,65,-73831,-69,42.05,193,54.4049451,0
669.3147014,656.25,1015.625,78.63604133,78.63617279,25.57427259,61.56202144,0.117487592,101.5965372,0.151791881,14.67090746,6385.639814,1638.636776,175,1157.608809,669.3147014,101.5187153,1359.375,1015.625,676.9698805,109.375,328.125,531.25,859.375,0.355133205,-23.878125,-81,-45846,0.813817481,37,-53,17.05,0.527310902,-38.30052083,-91,65,-73537,-69,42.05,192,54.74166426,0
669.1793893,656.25,1015.625,77.90954847,77.90968034,25.80152672,61.3740458,0.116425702,100.9985766,0.150929001,14.62185212,6378.458762,1659.980017,174,1156.933038,669.1793893,100.921449,1359.375,1015.625,676.7467724,109.375,328.125,531.25,859.375,0.35476978,-24.08802083,-81,-46249,0.812915484,37,-53,17.05,0.527167669,-38.1546875,-91,65,-73257,-69,42.05,197,54.74166426,0
669.5610687,656.25,1015.625,78.57749538,78.57762614,26.25954198,61.67938931,0.117356922,100.9747887,0.150807437,14.62069184,6346.468498,1607.056097,175,1165.726635,669.5610687,100.8976793,1359.375,1015.625,677.1206439,109.375,328.125,531.25,859.375,0.355781435,-24.77291667,-81,-47564,0.882685513,36,-53,17.05,0.523745858,-37.915625,-91,65,-72798,-69,42.05,202,54.74166426,0
670.6804281,671.875,1015.625,78.65190063,78.65203166,26.14678899,61.46788991,0.117271995,100.9809066,0.150564863,14.60825352,6364.163197,1554.050395,174,1197.764879,670.6804281,100.9036746,1359.375,1015.625,678.2284189,109.375,328.125,531.25,859.375,0.354353054,-25.46875,-81,-48900,0.955069288,35,-53,17.05,0.518542891,-37.6546875,-91,65,-72297,-69,42.05,207,54.74166426,0
670.8015267,671.875,1015.625,78.63448397,78.63461463,26.10687023,61.52671756,0.117224859,100.6846627,0.150096055,14.580987,6354.034215,1540.673495,174,1211.592823,670.8015267,100.6077748,1359.375,1015.625,678.3042183,109.375,328.125,531.25,859.375,0.354720978,-25.43489583,-81,-48835,0.985673724,35,-52,17.05,0.514781977,-37.6703125,-91,65,-72327,-69,42.05,206,54.78001428,0
